num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
190,10,10,10,0.2,5,0,0,0,0,706,1232,1690,2828,200,2828
180,20,10,10,0.2,5,0,0,0,0,487,916,1220,6913,200,6913
170,30,10,10,0.2,5,0,0,0,0,570,1026,1497,8250,200,8250
160,40,10,10,0.2,5,0,0,0,0,578,1224,1736,7012,200,7012
150,50,10,10,0.2,5,0,0,0,0,442,999,1501,12780,200,12780
140,60,10,10,0.2,5,0,0,0,0,664,1297,1809,7229,200,7229
130,70,10,10,0.2,5,0,0,0,0,675,1345,2069,12256,200,12256
120,80,10,10,0.2,5,0,0,0,0,454,1152,1849,10972,200,10972
110,90,10,10,0.2,5,0,0,0,0,578,1310,2916,10695,200,10695
100,100,10,10,0.2,5,0,0,0,0,777,1537,2603,10066,200,10066
90,110,10,10,0.2,5,0,0,0,0,1070,2141,3447,10939,200,10939
80,120,10,10,0.2,5,0,0,0,0,839,1956,3659,14210,200,14210
70,130,10,10,0.2,5,0,0,0,0,893,2573,4514,11963,200,11963
60,140,10,10,0.2,5,0,0,0,0,976,2174,4317,17067,200,17067
50,150,10,10,0.2,5,0,0,0,0,1348,3133,5598,26595,200,26595
40,160,10,10,0.2,5,0,0,0,0,1744,4054,7638,20593,200,20593
30,170,10,10,0.2,5,0,0,0,0,1847,4217,8124,27203,200,27203
20,180,10,10,0.2,5,0,0,0,0,3356,6425,9732,24154,200,24154
10,190,10,10,0.2,5,0,0,0,0,2914,7621,13505,34785,200,34785
190,10,10,10,0.16,5,0,0,0,0,496,1100,1504,3350,200,3350
180,20,10,10,0.16,5,0,0,0,0,468,949,1549,3659,200,3659
170,30,10,10,0.16,5,0,0,0,0,657,1198,1652,7656,200,7656
160,40,10,10,0.16,5,0,0,0,0,663,1346,1994,9727,200,9727
150,50,10,10,0.16,5,0,0,0,0,873,1425,2045,10322,200,10322
140,60,10,10,0.16,5,0,0,0,0,586,1207,1902,8733,200,8733
130,70,10,10,0.16,5,0,0,0,0,749,1635,2483,10046,200,10046
120,80,10,10,0.16,5,0,0,0,0,820,1488,2711,10467,200,10467
110,90,10,10,0.16,5,0,0,0,0,914,2063,3540,12461,200,12461
100,100,10,10,0.16,5,0,0,0,0,1063,1921,3268,17479,200,17479
90,110,10,10,0.16,5,0,0,0,0,1128,2353,4196,15040,200,15040
80,120,10,10,0.16,5,0,0,0,0,983,2216,4085,19686,200,19686
70,130,10,10,0.16,5,0,0,0,0,1528,3216,5288,28081,200,28081
60,140,10,10,0.16,5,0,0,0,0,1613,4039,6286,21295,200,21295
50,150,10,10,0.16,5,0,0,0,0,1653,4385,6947,23943,200,23943
40,160,10,10,0.16,5,0,0,0,0,2161,4185,7496,21987,200,21987
30,170,10,10,0.16,5,0,0,0,0,2318,5959,10823,28943,200,28943
20,180,10,10,0.16,5,0,0,0,0,2696,7423,13985,33963,200,33963
10,190,10,10,0.16,5,0,0,0,0,3420,8430,14368,39335,200,39335
190,10,10,10,0.12,5,0,0,0,0,482,1034,1555,3537,200,3537
180,20,10,10,0.12,5,0,0,0,0,683,1194,1887,9692,200,9692
170,30,10,10,0.12,5,0,0,0,0,926,1503,2414,8495,200,8495
160,40,10,10,0.12,5,0,0,0,0,667,1397,2162,11949,200,11949
150,50,10,10,0.12,5,0,0,0,0,592,1263,2120,14663,200,14663
140,60,10,10,0.12,5,0,0,0,0,1103,1977,3038,9530,200,9530
130,70,10,10,0.12,5,0,0,0,0,794,1729,2892,19078,200,19078
120,80,10,10,0.12,5,0,0,0,0,1301,2258,3661,16574,200,16574
110,90,10,10,0.12,5,0,0,0,0,1369,2357,4256,19394,200,19394
100,100,10,10,0.12,5,0,0,0,0,1652,2689,4909,19638,200,19638
90,110,10,10,0.12,5,0,0,0,0,1442,3038,5284,26357,200,26357
80,120,10,10,0.12,5,0,0,0,0,2086,3794,6572,40025,200,40025
70,130,10,10,0.12,5,0,0,0,0,1506,3557,6825,24586,200,24586
60,140,10,10,0.12,5,0,0,0,0,2301,4907,7987,24113,200,24113
50,150,10,10,0.12,5,0,0,0,0,3153,5957,10442,35828,200,35828
